Area,Location,Rate
Amboli,"Andheri,Western Suburbs",18000
"Chakala, Andheri",Western Suburbs,14750
D.N. Nagar,"Andheri,Western Suburbs",18000
Four Bungalows,"Andheri,Western Suburbs",18000
Lokhandwala,"Andheri,Western Suburbs",18000
Marol,"Andheri,Western Suburbs",14750
Sahar,"Andheri,Western Suburbs",14750
Seven Bungalows,"Andheri,Western Suburbs",18000
Versova,"Andheri,Western Suburbs",18000
Mira Road,"Mira-Bhayandar,Western Suburbs",8500
Bhayandar,"Mira-Bhayandar,Western Suburbs",8000
Uttan,"Mira-Bhayandar,Western Suburbs",
Bandstand Promenade,"Bandra,Western Suburbs",30000
Kherwadi,"Bandra,Western Suburbs",27500
Pali Hill,"Bandra,Western Suburbs",30000
I.C. Colony,"Borivali (West),Western Suburbs",10550
Gorai,"Borivali (West),Western Suburbs",10550
Dahisa,Western Suburbs,9500
Aarey Milk Colony,"Goregaon,Western Suburbs",12950
Bangur Nagar,"Goregaon,Western Suburbs",13500
Jogeshwari West,Western Suburbs,17000
Juhu,Western Suburbs,37750
Charkop,"Kandivali West,Western Suburbs",15500
Poisar,"Kandivali West,Western Suburbs",15500
Mahavir Nagar,"Kandivali West,Western Suburbs",15500
Thakur village,"Kandivali East,Western Suburbs",11500
Pali Naka,"Khar,Western Suburbs",21500
Khar Danda,"Khar,Western Suburbs",21500
Dindoshi,"Malad,Western Suburbs",11050
Sunder Nagar,"Malad,Western Suburbs",13600
Kalina,"Sanctacruz,Western Suburbs",20000
Naigaon,"Vasai,Western Suburbs",
Nalasopara,"Vasai,Western Suburbs",
Virar,Western Suburbs,
Irla,"Vile Parle,Western Suburbs",20750
Vile Parle,Western Suburbs,17000
Bhandup,Eastern Suburbs,15000
Amrut Nagar,"Ghatkopar,Eastern Suburbs",16150
Asalfa,"Ghatkopar,Eastern Suburbs",16150
Pant Nagar,"Ghatkopar,Eastern Suburbs",11500
Kanjurmarg,Eastern Suburbs,10550
Nehru Nagar,"Kurla,Eastern Suburbs",10000
Nahur,"Mulund,Eastern Suburbs",11600
Chandivali,"Powai,Eastern Suburbs",19500
Hiranandani Gardens,"Powai,Eastern Suburbs",19500
Indian Institute of Technology Bombay campus,"Powai,Eastern Suburbs",19500
Vidyavihar,Eastern Suburbs,
Vikhroli,Eastern Suburbs,12000
Chembur,Harbour Suburbs,19250
Deonar,"Govandi,Harbour Suburbs",
Mankhurd,Harbour Suburbs,10500
Mahul,"Trombay,Harbour Suburbs",
Agripada,South Mumbai,
Altamount Road,South Mumbai,45000
Bhuleshwar,South Mumbai,
Breach Candy,South Mumbai,43500
Carmichael Road,South Mumbai,
Cavel,South Mumbai,
Churchgate,South Mumbai,28500
Cotton Green,South Mumbai,
Cuffe Parade,South Mumbai,27500
Cumbala Hill,South Mumbai,
Currey Road,South Mumbai,
Dhobitalao,South Mumbai,
Dongri,South Mumbai,
Kala Ghoda,South Mumbai,
Kemps Corner,South Mumbai,40000
Lower Parel,South Mumbai,28750
Mahalaxmi,South Mumbai,27500
Mahim,South Mumbai,18500
Malabar Hill,South Mumbai,
Marine Drive,South Mumbai,40000
Marine Lines,South Mumbai,29000
Mumbai Central,South Mumbai,22500
Nariman Point,South Mumbai,33500
Prabhadevi,South Mumbai,30750
Sion,South Mumbai,18500
Walkeshwar,South Mumbai,43000
Worli,South Mumbai,27500
C.G.S. colony,"Antop Hill,South Mumbai",
Dagdi Chawl,"Byculla,South Mumbai",17000
Navy Nagar,"Colaba,South Mumbai",27500
Hindu colony,"Dadar,South Mumbai",22500
Ballard Estate,"Fort,South Mumbai",29000
Chira Bazaar,"Kalbadevi,South Mumbai",
Fanas Wadi,"Kalbadevi,South Mumbai",
Chor Bazaar,"Kamathipura,South Mumbai",
Matunga,South Mumbai,22500
Parel,South Mumbai,18000
Gowalia Tank,"Tardeo,South Mumbai",31000
Dava Bazaar,South Mumbai,
Dharavi,Mumbai,
Thane,Mumbai,
